Date,WTFESY
13/02/2008,465
20/02/2008,475
27/02/2008,500
5/03/2008,500
12/03/2008,490
19/03/2008,535
26/03/2008,525
2/04/2008,490
9/04/2008,495
16/04/2008,470
23/04/2008,450
30/04/2008,445
7/05/2008,425
14/05/2008,420
21/05/2008,425
28/05/2008,450
4/06/2008,420
11/06/2008,425
18/06/2008,440
25/06/2008,455
2/07/2008,465
9/07/2008,465
16/07/2008,445
23/07/2008,435
30/07/2008,435
6/08/2008,420
13/08/2008,415
20/08/2008,420
27/08/2008,420
3/09/2008,425
10/09/2008,410
17/09/2008,410
24/09/2008,370
1/10/2008,360
8/10/2008,345
15/10/2008,355
22/10/2008,345
29/10/2008,305
5/11/2008,295
12/11/2008,285
19/11/2008,290
26/11/2008,257.5
3/12/2008,225
10/12/2008,230
17/12/2008,225
24/12/2008,230
31/12/2008,235
7/01/2009,240
14/01/2009,245
21/01/2009,255
28/01/2009,330
4/02/2009,300
11/02/2009,280
18/02/2009,280
25/02/2009,270
4/03/2009,285
11/03/2009,277
18/03/2009,282
25/03/2009,280
1/04/2009,270
8/04/2009,285
15/04/2009,260
23/04/2009,270
30/04/2009,270
7/05/2009,270
14/05/2009,270.5
21/05/2009,271
28/05/2009,281
4/06/2009,281
11/06/2009,286
18/06/2009,281
25/06/2009,277
2/07/2009,280
9/07/2009,287
16/07/2009,285
23/07/2009,270
30/07/2009,268
6/08/2009,275
13/08/2009,260
20/08/2009,255
27/08/2009,260
3/09/2009,255
10/09/2009,255
17/09/2009,250
24/09/2009,240
1/10/2009,230
8/10/2009,225
15/10/2009,225
22/10/2009,235
29/10/2009,230
5/11/2009,235
12/11/2009,225
19/11/2009,230
26/11/2009,230
3/12/2009,230
10/12/2009,245
17/12/2009,250
24/12/2009,255
31/12/2009,258.3333333
7/01/2010,261.6666667
14/01/2010,265
21/01/2010,240
28/01/2010,235
4/02/2010,230
11/02/2010,230
18/02/2010,230
25/02/2010,228
4/03/2010,227
11/03/2010,227
18/03/2010,223
25/03/2010,221
1/04/2010,212
8/04/2010,207
15/04/2010,206
22/04/2010,207
29/04/2010,209
6/05/2010,215
13/05/2010,218
20/04/2010,221
27/05/2010,223
3/06/2010,218
10/06/2010,218
17/06/2010,220
24/06/2010,220
1/07/2010,222
8/07/2010,230
15/07/2010,238
22/07/2010,243
29/07/2010,243
5/08/2010,265
