Date ,WTFESY,
14/01/2010,265.00,
21/01/2010,240.00,
28/01/2010,235.00,
4/02/2010,230.00,
11/02/2010,230.00,
18/02/2010,230.00,
25/02/2010,228.00,
4/03/2010,227.00,
11/03/2010,227.00,
18/03/2010,223.00,
25/03/2010,221.00,
1/04/2010,212.00,
8/04/2010,207.00,
15/04/2010,206.00,
22/04/2010,207.00,
29/04/2010,209.00,
6/05/2010,215.00,
13/05/2010,218.00,
20/04/2010,221.00,
27/05/2010,223.00,
3/06/2010,218.00,
10/06/2010,218.00,
17/06/2010,220.00,
24/06/2010,220.00,
1/07/2010,222.00,
8/07/2010,230.00,
15/07/2010,238.00,
22/07/2010,243.00,
29/07/2010,243.00,
5/08/2010,265.00,
12/08/2010,290.00,
19/08/2010,292.00,
26/08/2010,290.00,
2/09/2010,296.00,
9/09/2010,295.00,
16/09/2010,305.00,
23/09/2010,315.00,
30/09/2010,295.00,
7/10/2010,300.00,
14/10/2010,295.00,
21/10/2010,295.00,
28/10/2010,295.00,
4/11/2010,275.00,
11/11/2010,265.00,
18/11/2010,260.00,
25/11/2010,245.00,
2/12/2010,250.00,
9/12/2010,270.00,
16/12/2010,255.00,
23/12/2010,,
30/12/2010,,
6/01/2011,,
13/01/2011,260.00,
20/01/2011,235.00,
27/01/2011,250.00,
3/02/2011,250.00,
10/02/2011,250.00,
17/02/2011,250.00,
24/02/2011,250.00,
3/03/2011,250.00,
10/03/2011,250.00,
17/03/2011,250.00,
24/03/2011,250.00,
31/03/2011,255.00,
7/04/2011,255.00,
14/04/2011,260.00,
21/04/2011,,
28/04/2011,,
5/05/2011,255.00,
12/05/2011,265.00,
19/05/2011,255.00,
26/05/2011,255.00,
2/06/2011,255.00,
9/06/2011,255.00,
16/06/2011,253.00,
23/06/2011,253.00,
30/06/2011,250.00,
7/07/2011,245.00,
14/07/2011,247.00,
21/07/2011,240.00,
28/07/2011,238.00,
4/08/2011,242.00,
11/08/2011,245.00,
