,Date,OTH 16-18kg,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg,WTFESY,18-22kg,12-18kg,22+kg,16-22kg,0-18kg,18-24kg
101,30/06/2007,352.5,375.5,373,374,299.5,381.75,329.25,376.25,316.25,339.5,216.75
102,31/07/2007,334,363,363.2,368.6,311.25,373.25,310,363.75,298.25,338,221
103,31/08/2007,292.5,312,312.5,317.25,316.4,310.2,240.8,305,223.8,278.6,179
104,30/09/2007,231,262.75,264.75,270.25,408.75,281.5,204.75,276,179.75,230.75,120
105,31/10/2007,234,276.8,268.8,274.2,458,253,194.25,248.25,165,207.5,102.25
106,30/11/2007,250,294.25,280.75,277,430,298.6,258.8,290,220.6,290.2,150.4
107,31/12/2007,250,303.5,295,289,441.6666667,316.125,281.125,303.625,241.125,298.5,175.375
108,31/01/2008,317.5,328,328.5,323.25,445.6666667,351,318.8,346.2,269.4,327.2,193
109,29/02/2008,347.5,369.75,372,343.75,475,377.75,334,355,297.75,359.75,194.75
110,31/03/2008,314,353.8,338.8,327.2,512.5,343,302.25,326,260.75,320,190.5
111,30/04/2008,310,348,337.5,328.5,470,349,304.75,333.75,274,318.25,194.75
112,31/05/2008,335,366.75,354.25,348.5,430,370.4,308.2,362.4,293.2,332,202.8
113,30/06/2008,386,430.4,417.4,408.8,435,448,336.25,444.5,323,326,213.75
114,31/07/2008,420,460.75,453.75,448.5,449,458,328.2,465.4,338,325.4,203
115,31/08/2008,415,461,456.25,448.75,418.75,458.75,323.75,458.75,339.5,323.75,195.75
116,30/09/2008,396,437.2,436.8,433.6,403.75,441,338.5,446.75,354.5,317.75,202.5
117,31/10/2008,350,372.25,373.5,379.5,342,365.4,295,369.8,278.6,317.2,170.2
118,30/11/2008,321.25,359,359.75,363.75,281.875,362.25,293.5,372,259.5,335,166.75
119,31/12/2008,358.3333333,403,397.6666667,393.3333333,229,406.25,357.25,418.5,321,363.75,189.25
120,31/01/2009,398.75,422,417.5,413.75,267.5,399,345.5,418.9,329.4,356.8,185.9
121,28/02/2009,395,412.75,407,411.25,282.5,403.5,340.5,422.75,320.75,366.25,173.75
122,31/03/2009,428,435.6,429.6,434.8,281,432,365,449,350.25,388.75,196.25
123,30/04/2009,460,451.75,447.25,448.75,271,452,367,451.2,371.8,398.8,223.6
124,31/05/2009,470,464.75,457.75,458,273.125,468.25,381.75,470.75,380,412.25,261.25
125,30/06/2009,506,490.6,481.6,480,281.25,497.5,381.5,503.75,401,427.75,291.75
126,31/07/2009,510,499,497,489.75,278,487.4,394.6,488.4,399.8,433.6,306.8
127,31/08/2009,406,434.4,442.2,452.2,262.5,431.75,359.5,426.25,343.75,395.75,286.25
128,30/09/2009,397.5,424.5,433.25,440.25,250,447.25,378.75,443,366,383,277.75
129,31/10/2009,425,422.5,425.5,429.25,229,437.6,392.4,427,364.6,427.4,293.8
130,30/11/2009,397.2,393.4,393.6,394.2,230,406.25,383.75,402.5,357.75,430,290
131,31/12/2009,406.5,415,413.5,414.5,247.6666667,454.6,396.9,449.5,369.2,430.6,270.4
132,31/01/2010,428.3333333,461.3333333,461.3333333,457.3333333,250.4166667,502.5,437.25,486.5,410.5,486.75,308.5
133,28/02/2010,450,469,469,465.5,229.5,504.75,451.5,493.5,430.25,512.5,313.5
134,31/03/2010,456,473.2,473.2,469.6,224.5,499,455.25,479.5,431,536,348.75
135,30/04/2010,450,468.5,468.5,463.25,210.3333333,480.4,437.2,464,426.8,493.6,360.8
136,31/05/2010,462,482.6,481.6,476.2,218.6666667,505.25,457.75,487.75,441.75,530.25,397
137,30/06/2010,477.5,498.75,498.75,493,219,532,476.5,518.25,467.5,534,407
138,31/07/2010,497.5,496,495.25,484.5,235.2,511.6,450,495.2,442.4,480.8,407.2
139,31/08/2010,492,512.2,512.2,493.6,284.25,557.5,489.5,537.5,477.75,542.75,425
140,30/09/2010,506.25,518,517,495.25,301.2,531.2,498.2,517.4,479.4,563.8,424.4
141,31/10/2010,447.5,472.75,472.75,461.75,296.25,484.25,459.5,472.25,414.25,533.75,360.75
142,30/11/2010,422,464.8,465.4,456,261.25,499.25,477.75,485.5,438.5,549,391.5
143,31/12/2010,450,491.5,492,490.5,257.75,535.7,522.9,526.3,462.3,580.8,414.7
144,31/01/2011,511.25,532.75,533.75,535.5,250.9375,573,547.5,569,507,616.5,422.75
145,28/02/2011,550,575.5,575.75,571.75,250,637,584.75,629,536.5,652,422.25
146,31/03/2011,567.5,600.25,600.25,595.25,251,654.6,616,632.4,564.4,733.4,442
147,30/04/2011,570,596.25,596.5,588,257.5,624.5,633,594,537.75,693.75,445.25
148,31/05/2011,582,570,572.8,553,257.5,574,555.75,553.5,532.5,616.5,432
149,30/06/2011,557.5,543.25,545.25,522.75,253.2,528,532.4,505.2,495.2,560.2,429.8
150,31/07/2011,517.5,493,492.25,470.25,242.5,488.25,503,454.25,463.25,523.75,431
151,31/08/2011,480,494,493,464.4,243,501.5,484.75,464.25,448.75,506.25,398.75
152,30/09/2011,480,493.5,495.75,470.75,244.4,517.8,509.6,491.8,460,586,400
153,31/10/2011,498,505.6,507,493.6,231.25,540,540.75,511.75,466.75,587.25,395.75
154,30/11/2011,487.5,500.25,500.75,490.5,227.5,513.25,516,499.75,440.75,595.75,357.5
155,31/12/2011,500,511,511,504,204.75,529.9,536.9,512.9,476.2,605.9,380.3
156,31/01/2012,445,496.25,496.25,483.5,211.4375,491.5,497,480.5,455.25,538.5,318.5
157,29/02/2012,431.25,482.5,481,462.25,213.25,479.25,479.75,462.75,458.25,514.75,299
158,31/03/2012,422.5,469.25,468,455.75,209.4,476,486.2,459.2,449.6,516.4,294.4
159,30/04/2012,420,449,447.6,441,209.5,435,442.25,423.75,407,480.75,286.25
160,31/05/2012,420,443.25,441.5,435.25,221.6,416.6,430.4,400.8,385.2,428.8,291.6
161,30/06/2012,420,446.5,448.5,431.5,251.75,394,391.25,376.5,347.25,409,288.5
162,31/07/2012,420,453.6,441.2,424.8,286.25,417.75,406,397.25,364,397.5,308.75
163,31/08/2012,420,427,418.25,403,299.8,415.8,357.4,396.6,329.4,403.6,258
164,30/09/2012,400,416.75,413.5,408.5,310.25,405.25,349.75,396.25,308,397.25,203.75
165,31/10/2012,366,393.6,392.8,382.6,301.75,373.75,343.75,374.25,306,387,158.75
166,30/11/2012,348.75,350.25,351.25,351.75,307.2,343.4,317.6,354,264.6,336.6,159.8
167,31/12/2012,337.5,354.5,354.5,351.5,308.0833333,343.25,324.75,359.5,280.25,333.625,144.5
168,31/01/2013,351.75,360.75,361.5,359,308.1333333,348.4,319,363.2,289.2,313.8,127
169,28/02/2013,361.5,369.25,369.5,366.25,319,397,363,404.5,340.5,330.25,147.5
170,31/03/2013,411.75,423,423.75,421,315.25,443.25,381.5,448.5,358.75,400,175.25
171,30/04/2013,409.6,427.6,429.2,426.4,300.25,405.25,351.5,427,353.5,378.75,155.75
172,31/05/2013,348.75,417.5,417.25,419.5,309.6,394.4,332.4,411.4,338.4,345.2,178.4
173,30/06/2013,375,473.75,472.75,463.25,311.5,476.5,412.5,494.75,413.75,422.5,280.5
174,31/07/2013,404,505.4,502.6,496.6,308.5,495.25,395.5,517.5,421.5,359.25,276.5
175,31/08/2013,381.25,489.25,487.75,487.5,291.8,462.4,353.2,485,362.2,372.4,256.6
176,30/09/2013,350,452.4,452.4,448.2,283.5,439,357.75,449,318.5,372.25,243.25
177,31/10/2013,,435,435,429.25,291,406.4,348.8,413.8,306.8,385.2,211.6
178,30/11/2013,,419.75,419.75,413.75,298.75,411.75,352.75,419.25,319.5,382.5,206
179,31/12/2013,,430.5,430.5,426.6,309.4166667,411.75,369.75,423.75,334.5833333,401.5,206
180,31/01/2014,,439.5,439.5,432.5,309.2666667,417.8,365.7,438.3,361.9333333,357.5,185.1
181,28/02/2014,,480.75,482.25,476.5,313.75,515.75,419,538,448.75,410.75,226.75
182,31/03/2014,,566.4,566.4,563.6,327.5,571.25,490,587,501.75,492.5,307.5
183,30/04/2014,,574,574,568.75,330.25,586.5,520.5,599,530.25,576,363.5
184,31/05/2014,,592.75,592.75,586.5,333.2,570,502.6,582.4,516.8,532.8,342.4
185,30/06/2014,,587.6,587.6,584.4,316,584.25,526.5,600,536.75,517.25,379.5
186,31/07/2014,,555.75,559.25,563,291.7,537.6,485.8,551.2,492.4,487.2,354.2
187,31/08/2014,,497.75,497.75,500.75,285,475.75,406.25,479.5,390.75,475.25,335.5
188,30/09/2014,,493.8,493.8,490,283.75,477.75,453.5,468.25,402.75,454.75,334.25
189,31/10/2014,,483.5,483.5,482.5,277.6,468.2,428.8,461.2,400.4,489.2,311
190,30/11/2014,,466.5,470,466.25,301.5,480.75,435,469.5,402.75,507.25,311.5
191,31/12/2014,,497.65,502.25,502,305.9375,538.75,487.5,538.5,462.3333333,564.25,311
192,31/01/2015,,514.5625,523.3125,524,308.35,554.9,521,561,492.1333333,590.2,342.2
193,28/02/2015,,531.25,541.25,543.5,298.5,534.75,506,556.75,495,543.5,351.25
194,31/03/2015,,519.2,529.2,520,292.5,510.75,476,518.75,457.5,490,345.25
195,30/04/2015,,527,537,529.25,299,541.2,509.8,548.6,495.2,554.2,373.2
196,31/05/2015,,539.5,554.5,549.5,292.75,576,526.75,589.5,523.25,556.5,367
197,30/06/2015,,553,568,567.2,298,586.75,565.75,593,546.25,565.5,398.5
198,31/07/2015,,564,574,569.5,310.2,590,540,590.2,540.6,522.2,393
199,31/08/2015,,568.8,577.8,575.6,296.25,591.25,543.25,596.25,532,566.5,377.75
200,30/09/2015,,551.25,562,560.75,278.75,559.5,519,555.25,490.75,582.5,369.75
201,31/10/2015,,484.25,499,497.5,283.8,507,465.2,500.2,440.8,546.6,315.8
202,30/11/2015,,493.4,518,518,293.5,533.25,493.25,532,468.75,567.5,336
203,31/12/2015,,499.0625,521.625,521.625,285.55,526.2,494.9,534.2,404.7,527,278.6
204,31/01/2016,,490.3125,514.875,514.875,280.6875,535.5,488.25,545.5,477.25,537.25,294
205,29/02/2016,,503.8,523.8,525,275,541,535.25,541.5,503.75,569,316.25
206,31/03/2016,,484.5,501.5,501.5,258.7333333,513,511.2,509.6,477.4,540,288.4
207,30/04/2016,,502,510,510,259.5833333,506.25,494.25,502.75,473.75,508,315.25
208,31/05/2016,,528,536,533.6,262.75,554.5,552.25,557.25,523.5,541.75,360.75
209,30/06/2016,,588,596,592,269.6,614.6,599.2,624.8,571.6,624.2,401.2
210,31/07/2016,,604,612,612,255.25,624.5,579.25,639.25,585.75,569.75,384
