,Date ,WTFESY,Unnamed: 2
330,4/05/2005,205.0,
331,11/05/2005,210.0,
332,18/05/2005,210.0,
333,25/05/2005,225.0,
334,1/06/2005,230.0,
335,8/06/2005,230.0,
336,15/06/2005,225.0,
337,22/06/2005,215.0,
338,29/06/2005,215.0,
339,6/07/2005,210.0,
340,13/07/2005,208.0,
341,20/07/2005,210.0,
342,27/07/2005,205.0,
343,3/08/2005,205.0,
344,10/08/2005,200.0,
345,17/08/2005,200.0,
346,24/08/2005,196.0,
347,31/08/2005,195.0,
348,7/09/2005,194.0,
349,14/09/2005,195.0,
350,21/09/2005,185.0,
351,28/09/2005,184.0,
352,5/10/2005,197.0,
353,12/10/2005,197.0,
354,19/10/2005,202.0,
355,26/10/2005,182.0,
356,2/11/2005,195.0,
357,9/11/2005,187.0,
358,16/11/2005,174.0,
359,23/11/2005,190.0,
360,30/11/2005,172.0,
361,7/12/2005,170.0,
362,14/12/2005,170.0,
363,21/12/2005,168.0,
364,28/12/2005,171.33333333333334,
365,4/01/2006,174.66666666666666,
366,11/01/2006,178.0,
367,18/01/2006,168.0,
368,25/01/2006,182.0,
369,1/02/2006,177.0,
370,8/02/2006,185.0,
371,15/02/2006,185.0,
372,22/02/2006,190.0,
373,1/03/2006,195.0,
374,8/03/2006,190.0,
375,15/03/2006,195.0,
376,22/03/2006,185.0,
377,29/03/2006,185.0,
378,5/04/2006,195.0,
379,12/04/2006,190.0,
380,19/04/2006,195.0,
381,26/04/2006,192.0,
382,3/05/2006,195.0,
383,10/05/2006,193.0,
384,17/05/2006,195.0,
385,24/05/2006,205.0,
386,31/05/2006,203.0,
387,7/06/2006,220.0,
388,14/06/2006,220.0,
389,21/06/2006,220.0,
390,28/06/2006,220.0,
391,5/07/2006,215.0,
392,12/07/2006,222.0,
393,19/07/2006,215.0,
394,26/07/2006,220.0,
395,2/08/2006,212.0,
396,9/08/2006,215.0,
397,16/08/2006,215.0,
398,23/08/2006,218.0,
399,30/08/2006,235.0,
400,6/09/2006,235.0,
401,13/09/2006,240.0,
402,20/09/2006,245.0,
403,27/09/2006,255.0,
404,4/10/2006,285.0,
405,11/10/2006,305.0,
406,18/10/2006,345.0,
407,25/10/2006,335.0,
408,1/11/2006,335.0,
409,8/11/2006,360.0,
410,15/11/2006,330.0,
411,22/11/2006,300.0,
412,29/11/2006,320.0,
413,6/12/2006,320.0,
414,13/12/2006,330.0,
415,20/12/2006,320.0,
416,27/12/2006,321.6666666666667,
417,3/01/2007,323.3333333333333,
418,10/01/2007,325.0,
419,17/01/2007,320.0,
420,24/01/2007,320.0,
421,31/01/2007,317.0,
422,7/02/2007,312.0,
423,14/02/2007,307.0,
424,21/02/2007,310.0,
425,28/02/2007,330.0,
426,7/03/2007,305.0,
427,14/03/2007,300.0,
428,21/03/2007,300.0,
429,28/03/2007,300.0,
430,4/04/2007,290.0,
431,11/04/2007,300.0,
432,18/04/2007,290.0,
433,25/04/2007,292.0,
434,2/05/2007,290.0,
435,9/05/2007,300.0,
436,16/05/2007,300.0,
437,23/05/2007,295.0,
438,30/05/2007,285.0,
439,6/06/2007,295.0,
440,13/06/2007,290.0,
441,20/06/2007,305.0,
442,27/06/2007,308.0,
443,4/07/2007,310.0,
444,11/07/2007,315.0,
445,18/07/2007,310.0,
446,25/07/2007,310.0,
447,1/08/2007,305.0,
448,8/08/2007,312.0,
449,15/08/2007,330.0,
450,22/08/2007,315.0,
451,29/08/2007,320.0,
452,5/09/2007,360.0,
453,12/09/2007,405.0,
454,19/09/2007,420.0,
455,26/09/2007,450.0,
456,3/10/2007,470.0,
457,10/10/2007,480.0,
458,17/10/2007,440.0,
459,24/10/2007,450.0,
460,31/10/2007,450.0,
461,7/11/2007,450.0,
462,14/11/2007,440.0,
463,21/11/2007,400.0,
464,28/11/2007,430.0,
465,5/12/2007,435.0,
466,12/12/2007,465.0,
467,19/12/2007,430.0,
468,26/12/2007,436.6666666666667,
469,2/01/2008,443.3333333333333,
470,9/01/2008,450.0,
471,16/01/2008,445.0,
472,23/01/2008,450.0,
473,30/01/2008,440.0,
474,6/02/2008,460.0,
475,13/02/2008,465.0,
476,20/02/2008,475.0,
477,27/02/2008,500.0,
478,5/03/2008,500.0,
479,12/03/2008,490.0,
480,19/03/2008,535.0,
481,26/03/2008,525.0,
482,2/04/2008,490.0,
483,9/04/2008,495.0,
484,16/04/2008,470.0,
485,23/04/2008,450.0,
486,30/04/2008,445.0,
487,7/05/2008,425.0,
488,14/05/2008,420.0,
489,21/05/2008,425.0,
490,28/05/2008,450.0,
491,4/06/2008,420.0,
492,11/06/2008,425.0,
493,18/06/2008,440.0,
494,25/06/2008,455.0,
495,2/07/2008,465.0,
496,9/07/2008,465.0,
497,16/07/2008,445.0,
498,23/07/2008,435.0,
499,30/07/2008,435.0,
500,6/08/2008,420.0,
501,13/08/2008,415.0,
502,20/08/2008,420.0,
503,27/08/2008,420.0,
504,3/09/2008,425.0,
505,10/09/2008,410.0,
506,17/09/2008,410.0,
507,24/09/2008,370.0,
508,1/10/2008,360.0,
509,8/10/2008,345.0,
510,15/10/2008,355.0,
511,22/10/2008,345.0,
512,29/10/2008,305.0,
513,5/11/2008,295.0,
514,12/11/2008,285.0,
515,19/11/2008,290.0,
516,26/11/2008,257.5,
517,3/12/2008,225.0,
518,10/12/2008,230.0,
519,17/12/2008,225.0,
520,24/12/2008,230.0,
521,31/12/2008,235.0,
522,7/01/2009,240.0,
523,14/01/2009,245.0,
524,21/01/2009,255.0,
525,28/01/2009,330.0,
526,4/02/2009,300.0,
527,11/02/2009,280.0,
528,18/02/2009,280.0,
529,25/02/2009,270.0,
530,4/03/2009,285.0,
531,11/03/2009,277.0,
532,18/03/2009,282.0,
533,25/03/2009,280.0,
534,1/04/2009,270.0,
535,8/04/2009,285.0,
536,15/04/2009,260.0,
537,23/04/2009,270.0,
538,30/04/2009,270.0,
539,7/05/2009,270.0,
540,14/05/2009,270.5,
541,21/05/2009,271.0,
542,28/05/2009,281.0,
543,4/06/2009,281.0,
544,11/06/2009,286.0,
545,18/06/2009,281.0,
546,25/06/2009,277.0,
547,2/07/2009,280.0,
548,9/07/2009,287.0,
549,16/07/2009,285.0,
550,23/07/2009,270.0,
551,30/07/2009,268.0,
552,6/08/2009,275.0,
553,13/08/2009,260.0,
554,20/08/2009,255.0,
555,27/08/2009,260.0,
556,3/09/2009,255.0,
557,10/09/2009,255.0,
558,17/09/2009,250.0,
559,24/09/2009,240.0,
560,1/10/2009,230.0,
561,8/10/2009,225.0,
562,15/10/2009,225.0,
563,22/10/2009,235.0,
564,29/10/2009,230.0,
565,5/11/2009,235.0,
566,12/11/2009,225.0,
567,19/11/2009,230.0,
568,26/11/2009,230.0,
569,3/12/2009,230.0,
570,10/12/2009,245.0,
571,17/12/2009,250.0,
572,24/12/2009,255.0,
573,31/12/2009,258.3333333333333,
574,7/01/2010,261.6666666666667,
575,14/01/2010,265.0,
576,21/01/2010,240.0,
577,28/01/2010,235.0,
578,4/02/2010,230.0,
579,11/02/2010,230.0,
580,18/02/2010,230.0,
581,25/02/2010,228.0,
582,4/03/2010,227.0,
583,11/03/2010,227.0,
584,18/03/2010,223.0,
585,25/03/2010,221.0,
586,1/04/2010,212.0,
587,8/04/2010,207.0,
588,15/04/2010,206.0,
589,22/04/2010,207.0,
590,29/04/2010,209.0,
591,6/05/2010,215.0,
592,13/05/2010,218.0,
593,20/04/2010,221.0,
594,27/05/2010,223.0,
595,3/06/2010,218.0,
596,10/06/2010,218.0,
597,17/06/2010,220.0,
598,24/06/2010,220.0,
599,1/07/2010,222.0,
600,8/07/2010,230.0,
601,15/07/2010,238.0,
602,22/07/2010,243.0,
603,29/07/2010,243.0,
604,5/08/2010,265.0,
605,12/08/2010,290.0,
606,19/08/2010,292.0,
607,26/08/2010,290.0,
608,2/09/2010,296.0,
609,9/09/2010,295.0,
610,16/09/2010,305.0,
611,23/09/2010,315.0,
612,30/09/2010,295.0,
613,7/10/2010,300.0,
614,14/10/2010,295.0,
615,21/10/2010,295.0,
616,28/10/2010,295.0,
617,4/11/2010,275.0,
618,11/11/2010,265.0,
619,18/11/2010,260.0,
620,25/11/2010,245.0,
621,2/12/2010,250.0,
622,9/12/2010,270.0,
623,16/12/2010,255.0,
624,23/12/2010,256.25,
625,30/12/2010,257.5,
626,6/01/2011,258.75,
627,13/01/2011,260.0,
628,20/01/2011,235.0,
629,27/01/2011,250.0,
630,3/02/2011,250.0,
631,10/02/2011,250.0,
632,17/02/2011,250.0,
633,24/02/2011,250.0,
634,3/03/2011,250.0,
635,10/03/2011,250.0,
636,17/03/2011,250.0,
637,24/03/2011,250.0,
638,31/03/2011,255.0,
639,7/04/2011,255.0,
640,14/04/2011,260.0,
641,21/04/2011,258.3333333333333,
642,28/04/2011,256.6666666666667,
643,5/05/2011,255.0,
644,12/05/2011,265.0,
645,19/05/2011,255.0,
646,26/05/2011,255.0,
647,2/06/2011,255.0,
648,9/06/2011,255.0,
649,16/06/2011,253.0,
650,23/06/2011,253.0,
651,30/06/2011,250.0,
652,7/07/2011,245.0,
653,14/07/2011,247.0,
654,21/07/2011,240.0,
655,28/07/2011,238.0,
656,4/08/2011,242.0,
