,Date,16-18kg,18-20kg,20-22kg,22-24kg,CPI (Dec20$)
222,31/07/2018,,717.2,725.4,722.8,0.968
223,31/08/2018,,783.75,783.75,783.75,0.968
224,30/09/2018,,815.25,815.25,815.25,0.968
225,31/10/2018,,742,742,742,0.974
226,30/11/2018,,722.5,722.5,722.5,0.974
227,31/12/2018,,722.8,725.5,725.5,0.974
228,31/01/2019,,702.75,705,705,0.974
229,28/02/2019,,676,676,676,0.974
230,31/03/2019,,648.5,648.5,648.5,0.974
231,30/04/2019,,687.3,687.3,687.3,0.98
232,31/05/2019,,766.75,766.75,766.75,0.98
233,30/06/2019,,839.5,839.5,839.5,0.98
234,31/07/2019,,875.4,875.4,875.4,0.985
235,31/08/2019,,840,840,840,0.985
236,30/09/2019,,790.8,790.8,790.8,0.985
237,31/10/2019,,783,783,778.5,0.991
238,30/11/2019,,759.25,759.25,757.75,0.991
239,31/12/2019,,721,734,734,0.991
240,31/01/2020,,695.5,729.75,729.75,0.995
